# Ligne de commentaire
0.000	12.067	0.360	0.156
1.000	11.942	0.493	0.158
2.000	11.972	0.477	0.148
3.000	12.042	0.338	0.071
4.000	12.038	0.143	-0.077
5.000	11.988	-0.106	-0.199
6.000	11.973	-0.301	-0.246
7.000	11.982	-0.424	-0.228
8.000	11.979	-0.437	-0.189
9.000	11.999	-0.377	-0.129
10.000	12.030	-0.231	-0.038
11.000	12.039	0.039	0.085
12.000	12.022	0.330	0.158
13.000	11.919	0.521	0.170
14.000	11.945	0.537	0.176
15.000	12.028	0.402	0.114
16.000	12.033	0.188	-0.013
17.000	12.015	-0.073	-0.156
18.000	11.938	-0.306	-0.241
19.000	11.939	-0.465	-0.262
20.000	11.948	-0.511	-0.229
21.000	11.979	-0.453	-0.175
22.000	11.971	-0.292	-0.091
23.000	11.975	-0.047	0.047
24.000	11.972	0.261	0.151
25.000	11.919	0.499	0.181
26.000	11.927	0.565	0.196
27.000	11.991	0.462	0.158
28.000	12.006	0.243	0.043
29.000	12.027	-0.004	-0.114
30.000	12.027	-0.273	-0.229
31.000	12.001	-0.459	-0.277
32.000	11.971	-0.551	-0.253
33.000	11.964	-0.523	-0.213
34.000	11.969	-0.390	-0.145
35.000	11.964	-0.168	-0.023
36.000	11.943	0.164	0.114
37.000	11.913	0.458	0.166
38.000	11.893	0.586	0.193
39.000	11.929	0.534	0.184
40.000	11.925	0.328	0.100
41.000	11.927	0.086	-0.039
42.000	11.966	-0.184	-0.182
43.000	11.987	-0.393	-0.264
44.000	11.993	-0.522	-0.263
45.000	12.002	-0.526	-0.227
46.000	12.003	-0.431	-0.166
47.000	11.990	-0.237	-0.067
48.000	11.970	0.072	0.080
49.000	11.949	0.394	0.158
50.000	11.894	0.581	0.184
51.000	11.905	0.573	0.201
52.000	11.934	0.409	0.122
53.000	11.954	0.164	-0.036
54.000	11.943	-0.130	-0.197
55.000	11.917	-0.384	-0.284
56.000	11.920	-0.538	-0.291
57.000	11.936	-0.563	-0.242
58.000	11.955	-0.480	-0.175
59.000	11.960	-0.299	-0.088
60.000	11.956	-0.010	0.056
61.000	11.944	0.334	0.155
62.000	11.866	0.574	0.184
63.000	11.905	0.612	0.206
64.000	11.929	0.467	0.158
65.000	11.927	0.214	0.043
66.000	11.940	-0.060	-0.122
67.000	11.949	-0.331	-0.245
68.000	11.930	-0.520	-0.291
69.000	11.922	-0.603	-0.261
70.000	11.939	-0.557	-0.219
71.000	11.938	-0.395	-0.144
